,主键,机器编号,销量,销售额,日均销售额,点位日均销量,点位日,件单价,sku动销率,退款率,吐货失败率,缺货率,时间,PCA
0,021112462021-07-04,2111246,81,3364.0,841.0,20.25,4,41.53,1.0,0.0,0.0,0.375,2021-07-05 05:09:49,23.454054681569264
1,021002032021-07-04,2100203,538,5200.9,742.99,76.85714285714286,7,9.67,0.8431,0.0435,0.0127,0.3652,2021-07-05 05:09:47,34.89707283233091
2,021103482021-07-04,2110348,262,1816.64,259.52,37.42857142857143,7,6.93,0.8919,0.0507,0.0,0.257,2021-07-05 05:09:47,13.446787543778555
3,075512182021-07-04,7551218,356,1550.13,258.36,59.333333333333336,6,4.35,0.8214,0.0,0.0028,0.1337,2021-07-05 05:09:47,15.388869783221672
4,021109192021-07-04,2110919,254,1748.66,249.81,36.285714285714285,7,6.88,0.878,0.0662,0.011,0.2765,2021-07-05 05:09:47,12.922734575481648
5,025102422021-07-04,2510242,324,1529.5,218.5,46.285714285714285,7,4.72,0.92,0.0092,0.0,0.2527,2021-07-05 05:09:47,13.672765135225681
6,028103742021-07-04,2810374,295,1516.67,216.67,42.142857142857146,7,5.14,0.9565,0.0,0.0,0.3452,2021-07-05 05:09:47,13.118921754101308
7,010105952021-07-04,1010595,300,1504.13,214.88,42.857142857142854,7,5.01,0.963,0.0,0.0,0.1091,2021-07-05 05:09:49,12.937228126317725
8,021110622021-07-04,2111062,276,1378.96,196.99,39.42857142857143,7,5.0,0.963,0.0036,0.0036,0.3651,2021-07-05 05:09:47,12.08513202259654
9,075511852021-07-04,7551185,289,1361.94,194.56,41.285714285714285,7,4.71,0.88,0.0,0.0,0.0824,2021-07-05 05:09:47,11.86608913492244
10,075513702021-07-04,7551370,247,1327.63,189.66,35.285714285714285,7,5.38,0.9091,0.0,0.0,0.2893,2021-07-05 05:09:47,11.018069496595352
11,010104332021-07-04,1010433,277,1314.14,187.73,39.57142857142857,7,4.74,0.8214,0.0,0.0,0.3812,2021-07-05 05:09:47,11.58779044096373
12,029102192021-07-04,2910219,296,1293.72,184.82,42.285714285714285,7,4.37,0.9048,0.0,0.0,0.2105,2021-07-05 05:09:47,11.902745444448358
13,021109142021-07-04,2110914,239,1282.9,183.27,34.142857142857146,7,5.37,0.8,0.0042,0.0,0.2583,2021-07-05 05:09:47,10.398957596575995
14,028100202021-07-04,2810020,271,1281.57,183.08,38.714285714285715,7,4.73,0.9375,0.0557,0.0035,0.2987,2021-07-05 05:09:47,11.354558438615701
15,010102442021-07-04,1010244,272,1265.15,180.74,38.857142857142854,7,4.65,0.88,0.0,0.0,0.1734,2021-07-05 05:09:47,11.13463755280826
16,010103822021-07-04,1010382,240,1072.77,178.79,40.0,6,4.47,0.6429,0.0041,0.0041,0.3224,2021-07-05 05:09:47,10.035171062600494
