,最近一次补货时间,机器编号,补货周期,当前库存,补货前1个小时库存,补货配货差,时间差,补货配货差范围,时间差范围
0,2021-06-27,1010144.0,6.0,112.0,112.0,0.0,13.304444444482215,0-5,10-20
1,2021-07-01,1010178.0,6.0,46.0,46.0,0.0,19.169722222199198,0-5,10-20
2,2021-06-27,1010454.0,6.0,63.0,63.0,0.0,17.474722222366836,0-5,10-20
3,2021-07-02,1010464.0,12.0,55.0,55.0,0.0,18.924166666693054,0-5,10-20
4,2021-06-30,2010055.0,6.0,81.0,81.0,0.0,17.2852777778171,0-5,10-20
5,2021-06-28,2110287.0,6.0,109.0,109.0,0.0,15.571388888871297,0-5,10-20
6,2021-06-30,2110305.0,6.0,58.0,58.0,0.0,16.02305555564817,0-5,10-20
7,2021-07-01,2110515.0,6.0,103.0,103.0,0.0,15.973611111170612,0-5,10-20
8,2021-06-30,2510142.0,6.0,46.0,46.0,0.0,20.906944444519468,0-5,20-30
9,2021-06-30,2510152.0,3.0,61.0,61.0,0.0,21.2591666666558,0-5,20-30
10,2021-06-27,2710038.0,6.0,86.0,86.0,0.0,16.838333333318587,0-5,10-20
11,2021-06-30,53110035.0,12.0,67.0,67.0,0.0,15.381666666653473,0-5,10-20
12,2021-07-01,59210015.0,9.0,88.0,88.0,0.0,13.076388888875954,0-5,10-20
13,2021-06-30,7551249.0,6.0,68.0,68.0,0.0,15.924722222203854,0-5,10-20
14,2021-06-30,7551250.0,9.0,72.0,72.0,0.0,14.165555555548053,0-5,10-20
15,2021-07-02,1010109.0,9.0,53.0,53.0,0.0,18.412222222366836,0-5,10-20
16,2021-06-29,1010198.0,6.0,65.0,65.0,0.0,19.296111111121718,0-5,10-20
17,2021-07-02,1010405.0,6.0,77.0,77.0,0.0,21.36944444454275,0-5,20-30
18,2021-06-29,1010467.0,9.0,94.0,94.0,0.0,21.77361111121718,0-5,20-30
19,2021-06-29,1010584.0,6.0,76.0,76.0,0.0,21.63277777779149,0-5,20-30
20,2021-06-29,1010602.0,6.0,117.0,117.0,0.0,21.500000000058208,0-5,20-30
21,2021-06-29,2010288.0,6.0,113.0,113.0,0.0,12.199722222285345,0-5,10-20
22,2021-07-01,2710168.0,12.0,109.0,109.0,0.0,17.26000000006752,0-5,10-20
23,2021-06-29,2710198.0,9.0,70.0,70.0,0.0,20.312222222273704,0-5,20-30
24,2021-07-02,2810125.0,9.0,106.0,106.0,0.0,10.830277777800802,0-5,10-20
25,2021-06-30,2810265.0,12.0,102.0,102.0,0.0,18.70972222223645,0-5,10-20
26,2021-07-01,2810457.0,6.0,95.0,95.0,0.0,14.886388888873626,0-5,10-20
27,2021-07-02,2810479.0,6.0,116.0,116.0,0.0,13.648055555589963,0-5,10-20
28,2021-07-01,2810482.0,6.0,107.0,107.0,0.0,16.528333333320916,0-5,10-20
29,2021-06-29,37110190.0,6.0,104.0,104.0,0.0,16.840277777868323,0-5,10-20
30,2021-06-29,37110191.0,6.0,94.0,94.0,0.0,12.088333333376795,0-5,10-20
31,2021-07-01,5110021.0,9.0,78.0,78.0,0.0,19.586388889001682,0-5,10-20
32,2021-06-29,5110036.0,6.0,90.0,90.0,0.0,21.26777777785901,0-5,20-30
33,2021-06-30,5110041.0,3.0,154.0,154.0,0.0,18.89611111121485,0-5,10-20
34,2021-07-01,5110062.0,6.0,66.0,66.0,0.0,21.474444444465917,0-5,20-30
35,2021-06-29,5321180.0,6.0,51.0,51.0,0.0,15.06638888886664,0-5,10-20
36,2021-07-01,5321209.0,12.0,74.0,74.0,0.0,23.078333333367482,0-5,20-30
37,2021-07-02,5321274.0,6.0,43.0,43.0,0.0,23.247777777782176,0-5,20-30
38,2021-07-02,5321276.0,6.0,36.0,36.0,0.0,25.07944444444729,0-5,20-30
39,2021-06-27,5321281.0,6.0,76.0,76.0,0.0,20.027222222357523,0-5,20-30
40,2021-06-30,55110083.0,9.0,81.0,81.0,0.0,25.786388888955116,0-5,20-30
41,2021-07-01,55110085.0,6.0,94.0,94.0,0.0,25.860277777828742,0-5,20-30
42,2021-07-01,55110221.0,6.0,89.0,89.0,0.0,25.66222222225042,0-5,20-30
43,2021-06-30,55110255.0,3.0,83.0,83.0,0.0,24.086388889001682,0-5,20-30
44,2021-06-29,55110277.0,6.0,101.0,101.0,0.0,24.322777777793817,0-5,20-30
45,2021-07-02,55110287.0,6.0,141.0,141.0,0.0,22.865833333460614,0-5,20-30
46,2021-06-30,55110289.0,6.0,98.0,98.0,0.0,23.841111111163627,0-5,20-30
47,2021-07-02,57110038.0,6.0,90.0,90.0,0.0,21.902777777868323,0-5,20-30
48,2021-07-01,57410009.0,3.0,91.0,91.0,0.0,17.693888888927177,0-5,10-20
49,2021-06-28,57410242.0,6.0,100.0,100.0,0.0,17.282222222245764,0-5,10-20
50,2021-06-28,57410243.0,6.0,90.0,90.0,0.0,16.28722222225042,0-5,10-20
51,2021-07-01,57410256.0,6.0,98.0,98.0,0.0,11.977777777821757,0-5,10-20
52,2021-07-02,59210291.0,6.0,96.0,96.0,0.0,18.010833333421033,0-5,10-20
53,2021-06-30,73110098.0,6.0,114.0,114.0,0.0,18.119166666758247,0-5,10-20
54,2021-06-29,73110113.0,9.0,80.0,80.0,0.0,252.3936111110961,0-5,80以上
55,2021-07-02,7551222.0,3.0,123.0,123.0,0.0,11.449444444442634,0-5,10-20
56,2021-06-28,7551380.0,6.0,104.0,104.0,0.0,11.033333333325572,0-5,10-20
57,2021-06-28,7551389.0,6.0,110.0,110.0,0.0,22.67083333345363,0-5,20-30
58,2021-07-01,7551405.0,6.0,163.0,163.0,0.0,17.546944444533437,0-5,10-20
59,2021-06-28,7551411.0,6.0,115.0,115.0,0.0,18.16638888901798,0-5,10-20
60,2021-07-01,59210365.0,6.0,91.0,91.0,0.0,11.110555555613246,0-5,10-20
61,2021-06-27,1010267.0,9.0,59.0,59.0,0.0,12.210833333374467,0-5,10-20
62,2021-06-27,1010275.0,6.0,58.0,58.0,0.0,14.329444444505498,0-5,10-20
63,2021-07-02,1010293.0,6.0,50.0,50.0,0.0,15.09583333338378,0-5,10-20
64,2021-06-27,1010304.0,6.0,39.0,39.0,0.0,14.519444444566034,0-5,10-20
65,2021-06-30,1010319.0,6.0,45.0,45.0,0.0,15.453055555641185,0-5,10-20
66,2021-06-30,1010361.0,6.0,68.0,68.0,0.0,10.563888888980728,0-5,10-20
67,2021-07-01,1010437.0,6.0,65.0,65.0,0.0,22.901666666788515,0-5,20-30
68,2021-06-27,1010449.0,6.0,48.0,48.0,0.0,18.20722222229233,0-5,10-20
69,2021-06-27,1010547.0,6.0,107.0,107.0,0.0,14.875555555627216,0-5,10-20
70,2021-07-01,1010569.0,6.0,37.0,37.0,0.0,11.41638888901798,0-5,10-20
71,2021-06-28,1010579.0,6.0,52.0,52.0,0.0,10.253333333472256,0-5,10-20
72,2021-06-30,1010582.0,6.0,100.0,100.0,0.0,10.41305555566214,0-5,10-20
73,2021-06-29,2010081.0,6.0,69.0,69.0,0.0,9.118055555562023,0-5,0-10
74,2021-07-02,2010157.0,12.0,41.0,41.0,0.0,10.58500000013737,0-5,10-20
75,2021-06-30,2010168.0,12.0,72.0,72.0,0.0,10.256388888868969,0-5,10-20
76,2021-07-01,2010172.0,12.0,127.0,127.0,0.0,11.023611111100763,0-5,10-20
77,2021-06-27,2010266.0,6.0,71.0,71.0,0.0,9.940555555571336,0-5,0-10
78,2021-06-29,2010271.0,12.0,79.0,79.0,0.0,10.490555555617902,0-5,10-20
79,2021-06-30,2010276.0,12.0,82.0,82.0,0.0,9.5619444444892,0-5,0-10
80,2021-06-30,2010277.0,12.0,80.0,80.0,0.0,8.565833333472256,0-5,0-10
81,2021-07-01,2010279.0,6.0,66.0,66.0,0.0,20.658611111110076,0-5,20-30
82,2021-06-30,2010282.0,6.0,80.0,80.0,0.0,23.91472222219454,0-5,20-30
83,2021-07-01,2010286.0,6.0,92.0,92.0,0.0,15.242222222266719,0-5,10-20
